id,category,app,description,auth_methods,self_serve,api_surface,buildability_verdict,verdict_reason,evidence_url,confidence,needs_human_review
1,CRM and Sales,Salesforce,"A customer relationship management platform for sales, marketing, and customer service","OAuth2, API key",self-serve,Has a documented public REST and SOAP API,buildable-now,Salesforce provides extensive API documentation and developer resources,https://developer.salesforce.com/,high,True
2,CRM and Sales,HubSpot,"A customer relationship management platform that helps businesses manage sales, marketing, and customer service","OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Well-documented API and developer portal,https://developers.hubspot.com/,medium,True
3,CRM and Sales,Pipedrive,A sales management and CRM platform for businesses,"OAuth2, API key",self-serve,Pipedrive has a documented public REST API,buildable-now,Pipedrive provides a well-documented API for integration,https://pipedrive.com/en/api/v1,medium,True
4,CRM and Sales,Attio,A CRM and sales platform,"OAuth2, API key",self-serve,No clear information on public API,not-buildable,Lack of publicly available API documentation,,low,True
5,CRM and Sales,Twenty,Open-source CRM for managing customer relationships,"OAuth2, API key",self-serve,Twenty has a documented public REST API,buildable-now,Twenty is open-source with publicly available API documentation,https://twenty.com,medium,True
6,CRM and Sales,Podio,A project management and CRM platform,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Public API documentation available,https://podio.com,medium,True
7,CRM and Sales,Zoho CRM,"A customer relationship management platform for sales, marketing, and customer support teams","OAuth2, API key",self-serve,Zoho CRM has a documented public REST API,buildable-now,Zoho CRM provides a well-documented API and supports common authentication methods,https://www.zoho.com/crm/help/api/,medium,True
8,CRM and Sales,Close,A sales automation and CRM platform,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and developer resources,https://developer.close.com/,high,True
9,CRM and Sales,Copper,Copper is a Google-recommended CRM for sales teams,"OAuth2, API key",self-serve,Copper has a documented public REST API,buildable-now,Copper provides API documentation and has a developer portal,https://developer.copper.com/,medium,True
10,CRM and Sales,DealCloud,DealCloud is a cloud-based CRM and sales management platform,"OAuth2, API key",self-serve,DealCloud has a documented public REST API,buildable-now,DealCloud provides API documentation and has a developer portal,https://api.docs.dealcloud.com,medium,True
11,Support and Helpdesk,Zendesk,A customer service and support ticketing platform,"OAuth2, API key, Basic Auth",self-serve,Zendesk has a documented public REST API,buildable-now,Zendesk provides a well-documented API and has a large developer community,https://developer.zendesk.com/,high,True
12,Support and Helpdesk,Intercom,"Customer messaging platform for sales, marketing, and support","OAuth2, API key",self-serve,Intercom has a documented public REST API,buildable-now,Intercom provides a public API for integration,https://developers.intercom.com/,medium,True
13,Support and Helpdesk,Freshdesk,A cloud-based customer support software and helpdesk solution,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Well-documented API and available developer resources,https://developers.freshdesk.com/api/,high,True
14,Support and Helpdesk,Front,Customer communication platform for teams,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and developer portal,https://front.com/developers,medium,True
15,Support and Helpdesk,Pylon,Pylon is a customer support and helpdesk platform,"OAuth2, API key",self-serve,No documented public REST/GraphQL API found,buildable-with-friction,Lack of publicly available API documentation,,low,True
16,Support and Helpdesk,LiveAgent,A customer service and helpdesk platform,"OAuth2, API key",self-serve,LiveAgent has a documented public REST API,buildable-now,LiveAgent provides API documentation and has a developer portal,https://www.liveagent.com/,medium,True
17,Support and Helpdesk,Plain,A simple helpdesk and support platform,"OAuth2, API key",self-serve,No documented public REST/GraphQL API found,not-buildable,Lack of publicly available API documentation,,low,True
18,Support and Helpdesk,Help Scout,A customer support platform that provides help desk software and tools for teams,"OAuth2, API key",self-serve,Has a documented public API,buildable-now,Public API documentation available,https://developer.helpscout.com/,medium,True
